nhom,nut_can_hoc,ten_can_hoc,tien_quyet,ten_tien_quyet,refd,chi_phi,ly_do,xuyen_bai,DUYET,GHI_CHU
CAN_DUYET,B5.NL.TIEU_CHUAN_THUC_TIEN,Tiêu chuẩn tính thực tiễn,B3.TC.TIEU_CHUAN_THUAT_TOAN,Tiêu chuẩn thuật toán,0.7,2,Tiêu chuẩn thực tiễn kế thừa tiêu chuẩn thuật toán,True,OK,
CAN_DUYET,B5.KN.PHUONG_PHAP_BDTT,Các phương pháp biểu diễn tri thức,B3.KN.THUAT_TOAN,Thuật toán,0.7,2,Phương pháp biểu diễn tri thức cần khái niệm thuật toán,True,OK,
CAN_DUYET,B5.KN.QUAN_LY_VAN_BAN_NGON_NGU,Quản lý văn bản theo ngữ nghĩa,B1.KN.TRI_THUC_Y_KHOA,Tri thức trong y khoa,0.65,3,Quản lý văn bản ngữ nghĩa kế thừa tri thức chuyên ngành,True,OK,
CAN_DUYET,B5.KN.WOLFRAM_ALPHA,Wolfram Alpha,B1.VI_DU.IBM_WATSON,IBM Watson for Oncology,0.65,3,Wolfram Alpha kế thừa mô hình hệ hỏi đáp tri thức,True,OK,
CAN_DUYET,B1.NL.HUONG_PHAT_TRIEN_AI,Các hướng phát triển của AI,B1.KN.HUONG_PT_AI,Các hướng phát triển của Trí tuệ nhân tạo,0.8,2,"Cùng nội dung về hướng phát triển AI, cần biết khái niệm trước.",False,OK,
CAN_DUYET,B1.NL.HUONG_PHAT_TRIEN_AI,Các hướng phát triển của AI,B1.NL.DINH_NGHIA_AI,Các định nghĩa về AI,0.8,2,Cần hiểu định nghĩa AI trước khi bàn hướng phát triển.,False,OK,
CAN_DUYET,B1.KN.HE_CHUYEN_GIA,Hệ chuyên gia,B1.KN.AI,Trí tuệ nhân tạo (AI),0.8,2,"Hệ chuyên gia là một nhánh của AI, cần hiểu AI trước.",False,OK,
CAN_DUYET,B1.KN.HE_GIAI_QUYET_VAN_DE_THONG_MINH,Hệ giải quyết vấn đề thông minh,B1.KN.AI,Trí tuệ nhân tạo (AI),0.8,2,Hệ giải quyết vấn đề thông minh thuộc lĩnh vực AI.,False,OK,
CAN_DUYET,B1.KN.HE_HO_TRO_QUYET_DINH,Hệ hỗ trợ quyết định,B1.KN.AI,Trí tuệ nhân tạo (AI),0.8,2,Hệ hỗ trợ quyết định là một ứng dụng của AI.,False,OK,
CAN_DUYET,B1.KN.MO_HINH_AI,Mô hình ứng dụng AI,B1.KN.AI,Trí tuệ nhân tạo (AI),0.8,2,Mô hình ứng dụng AI cần hiểu khái niệm AI trước.,False,OK,
CAN_DUYET,B1.PP.STATE_SPACE_SEARCH,State Space Search,B1.KN.KG_DIEU_KHIEN,Không gian điều khiển,0.8,3,State Space Search dựa trên không gian trạng thái/điều khiển.,False,OK,
CAN_DUYET,B1.KN.ROBOT,Robot trong sản xuất,B1.KN.AI,Trí tuệ nhân tạo (AI),0.8,2,Robot thông minh ứng dụng trí tuệ nhân tạo.,False,OK,
CAN_DUYET,B1.KN.ROBOT,Robot trong sản xuất,B1.KN.CONG_NGHIEP_4_0,Công nghiệp 4.0,0.8,2,Robot là thành phần của sản xuất trong Công nghiệp 4.0.,False,OK,
CAN_DUYET,B1.TC.SAN_XUAT_LINH_HOAT,Sản xuất linh hoạt,B1.KN.CONG_NGHIEP_4_0,Công nghiệp 4.0,0.8,2,Hiểu Công nghiệp 4.0 mới hiểu bối cảnh sản xuất linh hoạt.,False,OK,
CAN_DUYET,B1.VI_DU.IBM_WATSON,IBM Watson for Oncology,B1.KN.HE_CHUYEN_GIA,Hệ chuyên gia,0.8,2,"Watson dựa trên hệ chuyên gia, cần hiểu khái niệm này.",False,OK,
CAN_DUYET,B1.KN.TURING_TEST,Turing Test,B1.NL.DINH_NGHIA_AI,Các định nghĩa về AI,0.8,2,"Turing Test là tiêu chí đánh giá AI, cần hiểu định nghĩa AI.",False,OK,
CAN_DUYET,B1.VI_DU.HE_THONG_GIAO_THONG,Hệ thống giao thông thông minh,B1.KN.AI,Trí tuệ nhân tạo (AI),0.8,1,Hệ thống giao thông thông minh ứng dụng AI.,False,OK,
CAN_DUYET,B1.KN.HUONG_PT_AI,Các hướng phát triển của Trí tuệ nhân tạo,B1.KN.LICH_SU_AI,Lịch sử của AI,0.8,2,Các hướng phát triển AI dựa trên tiến trình lịch sử.,False,OK,
CAN_DUYET,B1.KN.NHA_MAY_TUONG_LAI,Nhà máy tương lai,B1.KN.CONG_NGHIEP_4_0,Công nghiệp 4.0,0.8,2,Nhà máy tương lai là biểu hiện của Công nghiệp 4.0.,False,OK,
CAN_DUYET,B2.TC.DAC_TINH_HEURISTIC,Đặc tính thuật giải heuristic,B2.KN.HAM_HEURISTIC,Hàm Heuristic,0.8,2,Đặc tính thuật giải gắn với hàm heuristic dùng trong đó,False,OK,
CAN_DUYET,B2.BT.CAI_DAT_BAI_TOAN,Bài tập cài đặt các bài toán,B2.KN.THUAT_GIAI,Thuật giải,0.8,2,Cài đặt bài toán cần hiểu thuật giải,False,OK,
CAN_DUYET,B2.BT.NGUOI_DUA_THU_HAI_CACH,Bài tập người đưa thư hai cách giải,B2.TT.NGUOI_DUA_THU,Thuật giải Heuristic bài toán người đưa thư,0.8,3,Bài tập so sánh hai cách giải cần biết thuật giải,False,OK,
CAN_DUYET,B2.KN.BAI_TOAN_NGUOI_DUA_THU,Bài toán người đưa thư,B2.KN.CHU_TRINH_HAMILTON,Chu trình Hamilton ngắn nhất,0.8,2,Bài toán người đưa thư liên quan đến chu trình Hamilton,False,OK,
CAN_DUYET,B3.KN.TIMKIEMCHIEUSAU,Tìm kiếm theo chiều sâu,B3.KN.CAY_TIM_KIEM,Cây tìm kiếm,0.8,1,DFS duyệt cây tìm kiếm theo nhánh sâu.,False,OK,
CAN_DUYET,B3.VD.BAI_TOAN_NGUOI_VA_QUY,Ví dụ bài toán người và quỷ,B3.KN.BIEU_DIEN_TRANG_THAI,"Biểu diễn trạng thái (a, b, k)",0.8,2,"Cần biểu diễn trạng thái (người, quỷ, thuyền) để mô hình hóa bài toán.",False,OK,
CAN_DUYET,B3.KN.TIMKIEMCHIEURONG,Tìm kiếm theo chiều rộng,B3.KN.CAY_TIM_KIEM,Cây tìm kiếm,0.8,1,BFS duyệt cây tìm kiếm theo chiều rộng.,False,OK,
CAN_DUYET,B3.TT.CAY_KHUNG_NHO_NHAT,Thuật toán cây khung nhỏ nhất,B3.KN.THUAT_TOAN,Thuật toán,0.8,1,Cần hiểu thuật toán để học thuật toán cây khung nhỏ nhất.,False,OK,
CAN_DUYET,B3.VI_DU.TRAM_CAP_NUOC,Ví dụ trạm cấp nước,B3.TT.CAY_KHUNG_NHO_NHAT,Thuật toán cây khung nhỏ nhất,0.8,3,Ví dụ minh họa ứng dụng thuật toán cây khung nhỏ nhất.,False,OK,
CAN_DUYET,B3.PP.PHAN_LOAI_VAN_DE,Phân loại vấn đề,B3.KN.VAN_DE,Vấn đề,0.8,1,Phân loại vấn đề cần hiểu khái niệm vấn đề.,False,OK,
CAN_DUYET,B3.BT.BAI_TOAN_DUONG_DI_NGAN_NHAT,Bài toán tìm đường đi ngắn nhất,B3.KN.KHONG_GIAN_TRANG_THAI_2,Không gian trạng thái,0.8,2,Cần mô hình không gian trạng thái để giải bài toán.,False,OK,
CAN_DUYET,B3.KN.TKTOTNHAT,Tìm kiếm tốt nhất,B3.KN.THUAT_TOAN,Thuật toán,0.8,1,Tìm kiếm tốt nhất là một thuật toán tìm kiếm.,False,OK,
CAN_DUYET,B3.KN.CAY_TIM_KIEM,Cây tìm kiếm,B3.KN.NUT_LA,Nút lá,0.8,1,"Cây tìm kiếm gồm các nút, nút lá là khái niệm cơ bản.",False,OK,
CAN_DUYET,B3.KN.BAI_TOAN_TIM_KIEM,Bài toán tìm kiếm,B3.KN.MO_HINH_VAN_DE,Mô hình vấn đề,0.8,3,Cần mô hình hóa vấn đề để phát biểu bài toán tìm kiếm.,False,OK,
CAN_DUYET,B3.BT.CANO,Bài tập ca nô tiếp xăng,B3.KN.BIEU_DIEN_TRANG_THAI,"Biểu diễn trạng thái (a, b, k)",0.8,3,Cần biểu diễn trạng thái vị trí và nhiên liệu của ca nô.,False,OK,
CAN_DUYET,B3.NL.HUONGTRI,Nguyên lý hướng dẫn bằng tri thức,B3.KN.BAI_TOAN_TIM_KIEM,Bài toán tìm kiếm,0.8,2,Nguyên lý hướng dẫn tri thức áp dụng cho bài toán tìm kiếm.,False,OK,
CAN_DUYET,B3.VI.TKTOTNHAT,Ví dụ minh họa tìm kiếm tốt nhất,B3.KN.HAM_UE_LUONG_H,Hàm ước lượng h(S),0.8,2,Tìm kiếm tốt nhất dùng hàm ước lượng h,False,OK,
CAN_DUYET,B3.KN.CHIEN_LUOC_TIM_KIEM,Các chiến lược tìm kiếm,B3.KN.TIM_KIEM_MU,Tìm kiếm mù,0.8,2,Chiến lược tìm kiếm bao gồm tìm kiếm mù,False,OK,
CAN_DUYET,B3.VI.TKSAU,Ví dụ minh họa tìm kiếm sâu dần,B3.KN.TIMKIEMCHIEUSAU,Tìm kiếm theo chiều sâu,0.8,2,Tìm kiếm sâu dần dựa trên tìm kiếm sâu,False,OK,
CAN_DUYET,B3.KN.DANH_SACH_LIST,Danh sách List lưu các đỉnh,B3.KN.DANHSAOOC,Hai danh sách O và C,0.8,2,Danh sách List là cấu trúc để lưu hai danh sách O và C,False,OK,
CAN_DUYET,B3.KN.DANHSAOOC,Hai danh sách O và C,B3.KN.THUAT_TOAN,Thuật toán,0.8,2,Hai danh sách O và C dùng trong thuật toán tìm kiếm,False,OK,
CAN_DUYET,B3.VI_DU.CAI_DAT_PUZZLE,Cài đặt puzzle,B3.KN.TOAN_TU_CHUYEN_TRANG_THAI,Toán tử chuyển trạng thái,0.8,2,Cài đặt puzzle cần toán tử chuyển trạng thái,False,OK,
CAN_DUYET,B3.KN.CAU_TRUC_INFO,Cấu trúc info lưu trạng thái puzzle,B3.VD.BAI_TOAN_8_SO,Bài toán 8 số,0.8,2,Cấu trúc info lưu trạng thái cho bài toán 8 số,False,OK,
CAN_DUYET,B3.KN.TIM_KIEM_MU,Tìm kiếm mù,B3.KN.CHIEN_LUOC_TIM_KIEM,Các chiến lược tìm kiếm,0.8,2,Tìm kiếm mù là một chiến lược tìm kiếm,False,OK,
CAN_DUYET,B3.KN.TIMOTRONG,Hàm timotrong xác định ô trống,B3.KN.CAU_TRUC_INFO,Cấu trúc info lưu trạng thái puzzle,0.8,2,Hàm xác định ô trống cần hiểu cấu trúc info,False,OK,
CAN_DUYET,B3.KN.SOBANG,Hàm sobang so sánh bảng,B3.KN.CAU_TRUC_INFO,Cấu trúc info lưu trạng thái puzzle,0.8,2,So sánh bảng cần hiểu cấu trúc info,False,OK,
CAN_DUYET,B3.KN.PREV,Đỉnh trước prev,B3.KN.DO_THI,Đồ thị,0.8,2,Cần hiểu đồ thị và đỉnh trước khi lưu vết đỉnh trước.,False,OK,
CAN_DUYET,B3.KN.GANBANG,Hàm ganbang gán bảng,B3.KN.BIEU_DIEN_TRANG_THAI,"Biểu diễn trạng thái (a, b, k)",0.8,2,Gán bảng thao tác trên biểu diễn trạng thái.,False,OK,
CAN_DUYET,B4.KN.CAYTROCHOI,Cây trò chơi,B4.KN.NGUOI_CHOI_MAX_MIN,Người chơi MAX và MIN,0.8,1,Cây trò chơi tổ chức các nút MAX và MIN xen kẽ theo lượt chơi.,False,OK,
CAN_DUYET,B4.VI.NIM,Ví dụ trò chơi Nim,B4.KN.NGUOI_CHOI_MAX_MIN,Người chơi MAX và MIN,0.8,2,Nim có hai người chơi MAX và MIN.,False,OK,
CAN_DUYET,B4.VI.TICTACTOE,Ví dụ trò chơi Tic-tac-toe,B4.KN.NGUOI_CHOI_MAX_MIN,Người chơi MAX và MIN,0.8,2,Tic-tac-toe có hai người chơi MAX và MIN.,False,OK,
CAN_DUYET,B5.KN.QUAN_LY_VAN_BAN_NGON_NGU,Quản lý văn bản theo ngữ nghĩa,B5.KN.TRI_THUC_THANH_PHAN,Các thành phần tri thức,0.8,2,Hiểu thành phần tri thức để tổ chức văn bản theo ngữ nghĩa,False,OK,
CAN_DUYET,B5.KN.PHUONG_PHAP_BDTT,Các phương pháp biểu diễn tri thức,B5.KN.TRI_THUC_THANH_PHAN,Các thành phần tri thức,0.8,2,Phương pháp biểu diễn tri thức liên quan trực tiếp đến thành phần tri thức,False,OK,
CAN_DUYET,B5.NL.TIEU_CHUAN_PHO_QUAT,Tiêu chuẩn tính phổ quát,B5.KN.PHUONG_PHAP_BDTT,Các phương pháp biểu diễn tri thức,0.8,3,Tiêu chuẩn phổ quát đánh giá các phương pháp biểu diễn tri thức,False,OK,
CAN_DUYET,B5.NL.TIEU_CHUAN_THUC_TIEN,Tiêu chuẩn tính thực tiễn,B5.KN.PHUONG_PHAP_BDTT,Các phương pháp biểu diễn tri thức,0.8,3,Tiêu chuẩn thực tiễn đánh giá các phương pháp biểu diễn tri thức,False,OK,
CAN_DUYET,B5.NL.TIEU_CHUAN_HINH_THUC_HOA,Tiêu chuẩn tính hình thức hóa,B5.KN.PHUONG_PHAP_BDTT,Các phương pháp biểu diễn tri thức,0.8,3,Tiêu chuẩn hình thức hóa đánh giá các phương pháp biểu diễn tri thức,False,OK,
CAN_DUYET,B5.NL.TIEU_CHUAN_DAY_DU,Tiêu chuẩn tính đầy đủ,B5.KN.PHUONG_PHAP_BDTT,Các phương pháp biểu diễn tri thức,0.8,3,Tiêu chuẩn đầy đủ đánh giá các phương pháp biểu diễn tri thức,False,OK,
CAN_DUYET,B6A.PP.BIEU_DIEN_LOGIC_VI_TU,Các giai đoạn biểu diễn tri thức logic vị từ,B6A.NL.BIEU_DIEN_TRI_THUC,Vấn đề biểu diễn tri thức,0.8,2,Vấn đề biểu diễn tri thức là bối cảnh của các giai đoạn biểu diễn,False,OK,
CAN_DUYET,B6A.KN.LOGIC_MENH_DE_3,Logic mệnh đề,B6A.KN.BANG_CHAN_TRI,Bảng chân trị,0.8,2,Bảng chân trị dùng để đánh giá biểu thức logic mệnh đề,False,OK,
CAN_DUYET,B6A.TT.THUAT_GIAI_VUONG_HAO,Thuật giải Vương Hạo,B6A.KN.DANG_CHUAN_CNF_DNF,Dạng chuẩn CNF và DNF,0.8,2,Thuật giải Vương Hạo thao tác trên dạng chuẩn,False,OK,
CAN_DUYET,B6A.KN.LUONG_TU_2,Lượng từ,B6A.KN.LOGIC_MENH_DE_3,Logic mệnh đề,0.8,2,Lượng từ là mở rộng của logic mệnh đề,False,OK,
CAN_DUYET,B6A.VI_DU.LAN_KHONG_UOT,Ví dụ chứng minh Lan không bị ướt,B6A.KN.MO_HINH_LOGIC_VI_TU,Mô hình tri thức logic vị từ,0.8,3,Ví dụ chứng minh dùng logic vị từ,False,OK,
CAN_DUYET,B6A.PP.CHUNG_MINH_PHAN_CHUNG,Phương pháp chứng minh phản chứng,B6A.NL.LUAT_SUY_DIEN,Luật suy diễn,0.8,2,Phương pháp phản chứng dùng luật suy diễn,False,OK,
CAN_DUYET,B6A.KN.HAM_VI_TU,Hàm vị từ,B6A.KN.MENH_DE,Mệnh đề,0.8,1,Hàm vị từ trả về mệnh đề,False,OK,
CAN_DUYET,B6A.VI_DU.SUY_DIEN_MODUS_TOLLENS,Ví dụ suy diễn P⇒Q và ¬Q,B6A.NL.PHEP_TOAN_MENH_DE,Các phép toán mệnh đề,0.8,2,Cần hiểu phép kéo theo ⇒ trong biểu thức,False,OK,
CAN_DUYET,B3.KN.HANG_SO_HUONG,Hằng số hướng di chuyển,B3.VD.BAI_TOAN_8_SO,Bài toán 8 số,0.75,2,Hằng số hướng di chuyển dùng trong bài toán 8 số,False,OK,
CAN_DUYET,B3.VI.TKSAU,Ví dụ minh họa tìm kiếm sâu dần,B3.NL.TANGDOSAU,Nguyên lý tăng độ sâu,0.75,2,Tìm kiếm sâu dần dùng nguyên lý tăng độ sâu,False,OK,
CAN_DUYET,B3.KN.CAU_TRUC_INFO,Cấu trúc info lưu trạng thái puzzle,B3.KN.BIEU_DIEN_TRANG_THAI,"Biểu diễn trạng thái (a, b, k)",0.75,2,Cần biểu diễn trạng thái để lưu vào info,False,OK,
CAN_DUYET,B5.KN.WOLFRAM_ALPHA,Wolfram Alpha,B5.KN.HE_CO_SO_TRI_THUC,Hệ cơ sở tri thức,0.75,4,Wolfram Alpha là hệ cơ sở tri thức tính toán,False,OK,
CAN_DUYET,B5.KN.SYMBOLAB,Symbolab,B5.KN.HE_CO_SO_TRI_THUC,Hệ cơ sở tri thức,0.75,4,Symbolab là ứng dụng của hệ cơ sở tri thức toán học,False,OK,
CAN_DUYET,B1.NL.HUONG_PHAT_TRIEN_AI,Các hướng phát triển của AI,B1.KN.LICH_SU_AI,Lịch sử của AI,0.7,3,Hiểu lịch sử AI để nắm các hướng phát triển qua thời kỳ.,False,OK,
CAN_DUYET,B1.KN.HE_CHUYEN_GIA,Hệ chuyên gia,B1.KN.TRI_THUC_Y_KHOA,Tri thức trong y khoa,0.7,2,Hệ chuyên gia y khoa dùng tri thức y khoa làm ví dụ điển hình.,False,OK,
CAN_DUYET,B1.KN.HE_CHUYEN_GIA,Hệ chuyên gia,B1.VI_DU.IBM_WATSON,IBM Watson for Oncology,0.7,2,IBM Watson là ví dụ cụ thể của hệ chuyên gia.,False,OK,
CAN_DUYET,B1.KN.HE_GIAI_QUYET_VAN_DE_THONG_MINH,Hệ giải quyết vấn đề thông minh,B1.PP.STATE_SPACE_SEARCH,State Space Search,0.7,3,Hệ giải quyết vấn đề thường dùng phương pháp tìm kiếm không gian trạng thái.,False,OK,
CAN_DUYET,B1.KN.HE_HO_TRO_QUYET_DINH,Hệ hỗ trợ quyết định,B1.KN.HE_CHUYEN_GIA,Hệ chuyên gia,0.7,3,Hệ chuyên gia là nền tảng cho hệ hỗ trợ quyết định.,False,OK,
CAN_DUYET,B1.NL.DINH_NGHIA_AI,Các định nghĩa về AI,B1.KN.LICH_SU_AI,Lịch sử của AI,0.7,2,Lịch sử AI cung cấp bối cảnh cho các định nghĩa AI.,False,OK,
CAN_DUYET,B1.KN.CONG_NGHIEP_4_0,Công nghiệp 4.0,B1.KN.ROBOT,Robot trong sản xuất,0.7,2,Robot là thành phần quan trọng trong Công nghiệp 4.0.,False,OK,
CAN_DUYET,B1.KN.MO_HINH_AI,Mô hình ứng dụng AI,B1.KN.LINH_VUC_AI,Các lĩnh vực của AI,0.7,2,Cần biết các lĩnh vực AI để xây dựng mô hình ứng dụng.,False,OK,
CAN_DUYET,B1.KN.KG_DIEU_KHIEN,Không gian điều khiển,B1.KN.AI,Trí tuệ nhân tạo (AI),0.7,2,Không gian điều khiển là khái niệm cơ bản trong AI.,False,OK,
CAN_DUYET,B1.KN.CONG_NGHE_NANO,Công nghệ nano và vật liệu mới,B1.KN.CONG_NGHIEP_4_0,Công nghiệp 4.0,0.7,2,Công nghệ nano là một trụ cột của Công nghiệp 4.0.,False,OK,
CAN_DUYET,B1.TC.SAN_XUAT_LINH_HOAT,Sản xuất linh hoạt,B1.KN.ROBOT,Robot trong sản xuất,0.7,2,Robot là thành phần cốt lõi để thực hiện sản xuất linh hoạt.,False,OK,
CAN_DUYET,B1.KN.AI,Trí tuệ nhân tạo (AI),B1.KN.LICH_SU_AI,Lịch sử của AI,0.7,2,Lịch sử AI cung cấp ngữ cảnh hình thành khái niệm AI.,False,OK,
CAN_DUYET,B1.VI_DU.IBM_WATSON,IBM Watson for Oncology,B1.KN.TRI_THUC_Y_KHOA,Tri thức trong y khoa,0.7,2,Watson for Oncology dùng tri thức y khoa chuyên biệt.,False,OK,
CAN_DUYET,B1.KN.TURING_TEST,Turing Test,B1.KN.LICH_SU_AI,Lịch sử của AI,0.7,2,Turing Test ra đời trong giai đoạn đầu lịch sử AI.,False,OK,
CAN_DUYET,B1.KN.NHA_MAY_TUONG_LAI,Nhà máy tương lai,B1.KN.ROBOT,Robot trong sản xuất,0.7,2,Robot là thành phần chính trong nhà máy tương lai.,False,OK,
CAN_DUYET,B1.KN.NHA_MAY_TUONG_LAI,Nhà máy tương lai,B1.KN.INTERNET_VAN_VAT,Internet kết nối vạn vật,0.7,2,IoT là nền tảng kết nối của nhà máy tương lai.,False,OK,
CAN_DUYET,B1.KN.NEN_TANG_AI_2,Nền tảng của AI,B1.KN.LICH_SU_AI,Lịch sử của AI,0.7,2,Nền tảng AI hình thành qua các giai đoạn lịch sử.,False,OK,
CAN_DUYET,B2.KN.HAM_HEURISTIC,Hàm Heuristic,B2.KN.THUAT_GIAI,Thuật giải,0.7,2,Hàm heuristic phục vụ trong thuật giải tìm kiếm,False,OK,
CAN_DUYET,B2.PP.GIAI_PHAN_CONG,Thuật giải Heuristic cho bài toán phân công,B2.NL.THAM_LAM_2,Nguyên lý tham lam,0.7,3,Thuật giải heuristic phân công dựa trên nguyên lý tham lam,False,OK,
CAN_DUYET,B2.NL.THAM_LAM_2,Nguyên lý tham lam,B2.KN.THUAT_GIAI,Thuật giải,0.7,2,Nguyên lý tham lam là chiến lược trong thuật giải,False,OK,
